HypernymID	Hypernym	HyponymID	Hyponym	EvidentalSentIDs
106	congestion	1065	queue_length	ac-763#3:1
1874	multimedia_applications	41	news	ac-896#1:1
2355	network_services	1514	intrusion_detection	ac-987#1:1
113	operating_system	1085	unix	ac-1186#5:1
1763	multihop_wireless_networks	826	wireless_ad_hoc_networks	ac-1205#14:1
1763	multihop_wireless_networks	53	wireless_sensor_networks	ac-1205#14:1
1763	multihop_wireless_networks	13	wireless	ac-1205#14:1
232	routing_protocols	4652	aodv	ac-1213#4:1
21	internet	7958	voice_over_ip	ac-1252#1:1
21	internet	5671	peer_to_peer	ac-1252#1:1
21	internet	6358	video_on_demand	ac-1252#1:1
2451	qos_guarantees	8657	end_to_end_delay	ac-1595#1:1
745	performance_measures	5892	queue_length_distribution	ac-1678#3:1
745	performance_measures	567	packet_loss	ac-1678#3:1
1490	distributed_applications	4993	multimedia_services	ac-2003#2:1
21	internet	2042	p2p_networks	ac-2013#2:1
43	wireless_networks	7	sensor	ad-412#1:1
106	congestion	2715	service_time	ad-459#5:1
683	communication_networks	13	wireless	ad-498#2:1
3799	network_routing	3290	mobile_ip	ad-574#6:1
744	communication_systems	1099	web_server	ad-917#8:1
696	mobile_applications	804	energy_efficient	ad-996#7:1
109	voting	864	anonymity	ad-1095#7:1
788	scheduling_algorithms	1983	fair_queueing	ad-1525#3:1
87	routers	1093	network_management	ad-1989#4:1
2355	network_services	4192	internet_connectivity	ae-61#4:1
1210	tcp_flows	6579	tcp_reno	ae-155#3:1
30	sensor_networks	496	data_integration	ae-298#3:1
156	sensor_nodes	53	wireless_sensor_networks	ae-477#1:1
905	low_power	53	wireless_sensor_networks	ae-611#4:1
828	mobile_networks	7413	body_area_networks	ae-612#5:1
164	graphical_models	175	hidden_markov_models	ae-811#5:1
30	sensor_networks	107	twitter	ae-902#1:1
572	physical_layer	711	channel_coding	ae-1158#3:1
61	broadcast	3286	wireless_medium	ae-1345#1:1
43	wireless_networks	905	low_power	ae-1388#1:1
32	hardware	1958	accelerometer	ae-1626#2:1
245	distributed_systems	176	real_time	ae-1766#3:1
245	distributed_systems	1035	embedded_systems	ae-1766#3:1
